video_id,split,label,is_anomaly,video_score,n_segments
Abuse002_x264,validation,Abuse,1,0.2775295674800873,5
Abuse008_x264,validation,Abuse,1,0.28010308742523193,50
Abuse015_x264,test,Abuse,1,0.28010308742523193,49
Abuse016_x264,test,Abuse,1,0.2775295674800873,8
Abuse018_x264,test,Abuse,1,0.2775295674800873,15
Abuse043_x264,validation,Abuse,1,0.2775295674800873,24
Arrest008_x264,test,Arrest,1,0.28010308742523193,39
Arrest009_x264,validation,Arrest,1,0.2775295674800873,10
Arrest011_x264,validation,Arrest,1,0.2775295674800873,13
Arrest032_x264,test,Arrest,1,0.2775295674800873,10
Arrest040_x264,validation,Arrest,1,0.2775295674800873,11
Arrest043_x264,test,Arrest,1,0.28010308742523193,50
Assault002_x264,validation,Assault,1,0.2775295674800873,15
Assault003_x264,validation,Assault,1,0.28010308742523193,27
Assault007_x264,validation,Assault,1,0.2775295674800873,12
Assault017_x264,test,Assault,1,0.2775295674800873,15
Assault018_x264,test,Assault,1,0.2730002999305725,2
Assault037_x264,test,Assault,1,0.2775295674800873,20
Burglary004_x264,validation,Burglary,1,0.2775295674800873,11
Burglary031_x264,test,Burglary,1,0.28010308742523193,39
Burglary082_x264,test,Burglary,1,0.2775295674800873,17
Burglary084_x264,validation,Burglary,1,0.28010308742523193,28
Burglary090_x264,validation,Burglary,1,0.2775295674800873,17
Burglary097_x264,test,Burglary,1,0.2730002999305725,1
Explosion001_x264,test,Explosion,1,0.2775295674800873,4
Explosion015_x264,validation,Explosion,1,0.2775295674800873,5
Explosion018_x264,test,Explosion,1,0.2775295674800873,9
Explosion030_x264,validation,Explosion,1,0.2775295674800873,20
Explosion032_x264,validation,Explosion,1,0.2775295674800873,13
Explosion040_x264,test,Explosion,1,0.28010308742523193,28
Fighting012_x264,test,Fighting,1,0.2775295674800873,7
Fighting013_x264,validation,Fighting,1,0.2775295674800873,9
Fighting016_x264,test,Fighting,1,0.2775295674800873,18
Fighting021_x264,test,Fighting,1,0.2775295674800873,22
Fighting025_x264,validation,Fighting,1,0.28010308742523193,29
Fighting031_x264,validation,Fighting,1,0.28010308742523193,50
Normal_Videos065_x264,validation,NormalVideos,0,0.2775295674800873,5
Normal_Videos068_x264,test,NormalVideos,0,0.2775295674800873,11
Normal_Videos094_x264,test,NormalVideos,0,0.2775295674800873,10
Normal_Videos104_x264,validation,NormalVideos,0,0.2775295674800873,4
Normal_Videos105_x264,test,NormalVideos,0,0.2775295674800873,4
Normal_Videos118_x264,validation,NormalVideos,0,0.2775295674800873,5
Normal_Videos123_x264,validation,NormalVideos,0,0.28010308742523193,50
Normal_Videos127_x264,test,NormalVideos,0,0.2775295674800873,11
Normal_Videos128_x264,validation,NormalVideos,0,0.2775295674800873,11
Normal_Videos153_x264,validation,NormalVideos,0,0.28010308742523193,50
Normal_Videos197_x264,test,NormalVideos,0,0.2775295674800873,15
Normal_Videos231_x264,test,NormalVideos,0,0.28010308742523193,50
Normal_Videos272_x264,test,NormalVideos,0,0.2775295674800873,18
Normal_Videos277_x264,test,NormalVideos,0,0.28010308742523193,50
Normal_Videos311_x264,validation,NormalVideos,0,0.2775295674800873,15
Normal_Videos327_x264,test,NormalVideos,0,0.2775295674800873,10
Normal_Videos339_x264,test,NormalVideos,0,0.28010308742523193,50
Normal_Videos343_x264,validation,NormalVideos,0,0.2775295674800873,5
Normal_Videos391_x264,validation,NormalVideos,0,0.28010308742523193,30
Normal_Videos399_x264,validation,NormalVideos,0,0.2775295674800873,21
Normal_Videos415_x264,validation,NormalVideos,0,0.28010308742523193,50
Normal_Videos419_x264,test,NormalVideos,0,0.2775295674800873,7
Normal_Videos422_x264,test,NormalVideos,0,0.2775295674800873,10
Normal_Videos428_x264,test,NormalVideos,0,0.2775295674800873,5
Normal_Videos436_x264,validation,NormalVideos,0,0.2775295674800873,13
Normal_Videos438_x264,validation,NormalVideos,0,0.2730002999305725,3
Normal_Videos517_x264,test,NormalVideos,0,0.28010308742523193,28
Normal_Videos523_x264,validation,NormalVideos,0,0.2730002999305725,2
Normal_Videos605_x264,validation,NormalVideos,0,0.2775295674800873,23
Normal_Videos623_x264,validation,NormalVideos,0,0.28010308742523193,50
Normal_Videos651_x264,test,NormalVideos,0,0.2775295674800873,7
Normal_Videos679_x264,validation,NormalVideos,0,0.28010308742523193,44
Normal_Videos695_x264,test,NormalVideos,0,0.28010308742523193,40
Normal_Videos708_x264,validation,NormalVideos,0,0.2775295674800873,17
Normal_Videos716_x264,test,NormalVideos,0,0.28010308742523193,50
Normal_Videos747_x264,test,NormalVideos,0,0.2775295674800873,11
Normal_Videos797_x264,test,NormalVideos,0,0.2775295674800873,17
Normal_Videos825_x264,validation,NormalVideos,0,0.2775295674800873,10
Normal_Videos861_x264,validation,NormalVideos,0,0.2775295674800873,9
Normal_Videos921_x264,test,NormalVideos,0,0.2775295674800873,10
RoadAccidents040_x264,validation,RoadAccidents,1,0.2775295674800873,12
RoadAccidents049_x264,test,RoadAccidents,1,0.2775295674800873,4
RoadAccidents060_x264,validation,RoadAccidents,1,0.2775295674800873,5
RoadAccidents100_x264,validation,RoadAccidents,1,0.2730002999305725,3
RoadAccidents104_x264,test,RoadAccidents,1,0.28010308742523193,35
RoadAccidents144_x264,test,RoadAccidents,1,0.2775295674800873,5
Robbery019_x264,validation,Robbery,1,0.28010308742523193,36
Robbery042_x264,test,Robbery,1,0.2775295674800873,13
Robbery044_x264,validation,Robbery,1,0.2730002999305725,2
Robbery065_x264,test,Robbery,1,0.2775295674800873,15
Robbery123_x264,test,Robbery,1,0.2775295674800873,6
Robbery142_x264,validation,Robbery,1,0.2775295674800873,15
Shooting017_x264,test,Shooting,1,0.2775295674800873,5
